industry_index,industry_id,composition_basis_evidence_tier,period,metric_id,weight_basis,coverage,suppressed,observed,predicted_from_occupation_mix,occupation_adjusted_industry_context_residual
11,real-estate-and-rental-and-leasing,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,11.6319079256,8.10890282591663,3.5230050996833704
12,professional-scientific-and-technical-services,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,11.3597281842,9.350220010922046,2.009508173277954
13,management-of-companies-and-enterprises,sensitivity_unstable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,15.7318445509,9.058598574620799,6.673245976279201
14,administrative-and-support-and-waste-management-services,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,8.1794513408,3.7870913211305943,4.392360019669406
15,educational-services,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,4.4429037997,6.180773642887827,-1.737869843187827
16,health-care-and-social-assistance,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,3.6104212977,5.157979026846827,-1.5475577291468272
17,arts-entertainment-and-recreation,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,5.4191928543,6.2311219689044215,-0.8119291146044212
18,accommodation-and-food-services,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,2.6135350368,5.45703127163982,-2.8434962348398196
19,other-services-except-public-administration,limited,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,3.8503209899,5.11091296518652,-1.2605919752865198
20,public-administration,excluded,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,1.458685612,5.656707732089117,-4.198022120089117
1,agriculture-forestry-fishing-and-hunting,excluded,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.4838052521,2.1876255206563973,-0.7038202685563972
2,mining-quarrying-and-oil-and-gas-extraction,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,0.6776629266,2.137081483806057,-1.4594185572060567
3,construction,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,2.4841153471,1.914678236289218,0.5694371108107819
4,manufacturing,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.6966314885,2.2695339568994464,-0.5729024683994464
5,wholesale-trade,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,2.8261876653,2.0469745339536005,0.7792131313463995
6,retail-trade,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.9142074567,1.877927188480832,0.03628026821916808
7,transportation-and-warehousing,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.5872747319,1.7441092384480228,-0.15683450654802278
8,utilities,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.2473540551,2.4156859813140317,-1.1683319262140317
9,information,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,4.8530973208,2.902086439867754,1.951010880932246
10,finance-and-insurance,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,3.2897462883,2.8689077030823356,0.4208385852176644
11,real-estate-and-rental-and-leasing,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,2.599201416,2.4601431703946135,0.1390582456053866
12,professional-scientific-and-technical-services,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,3.9382219577,3.2851908156764527,0.6530311420235475
13,management-of-companies-and-enterprises,sensitivity_unstable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,3.9151456855,3.1910484996049853,0.7240971858950149
14,administrative-and-support-and-waste-management-services,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,3.4899386984,2.0564929131248135,1.4334457852751865
15,educational-services,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.7267464564,2.3850626702658717,-0.6583162138658718
16,health-care-and-social-assistance,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.485303308,1.9056014491924627,-0.42029814119246267
17,arts-entertainment-and-recreation,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.2766191055,2.211194259137532,-0.9345751536375322
18,accommodation-and-food-services,primary_stable,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.5603812248,1.8572009015604702,-0.2968196767604703
19,other-services-except-public-administration,limited,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.2556840279,1.8728094866631275,-0.6171254587631274
20,public-administration,excluded,2026-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.2541821922,2.0869749852409214,-0.8327927930409214
